projet,concours,chercheur,rôle,établissement,Pays,Province / Territoire
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Rise, Matthew",Cocandidat,Memorial University of Newfoundland,Canada,Terre-Neuve-et-Labrador
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Santander, Javier",Cocandidat,Memorial University of Newfoundland,Canada,Terre-Neuve-et-Labrador
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Thomas, Raymond",Chercheur principal désigné,Memorial University of Newfoundland,Canada,Terre-Neuve-et-Labrador
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Vodden, Kelly",Cocandidat,Memorial University of Newfoundland,Canada,Terre-Neuve-et-Labrador
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Yurgel, Svetlana",Cocandidat,Dalhousie University,Canada,Nouvelle-Écosse
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Tsoupras, Alexandros",Cocandidat,University of Limerick,Irlande,Munster
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Zabetakis, Ioannis",Cocandidat,University of Limerick,Irlande,Munster
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Del Buono, Nicoletta",Cocandidat,University of Bari Aldo Moro,Italie,
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Esposito, Flavia",Cocandidat,University of Bari Aldo Moro,Italie,
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Miyawaki, Atsushi",Cocandidat,RIKEN,Japon,
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Rothblatt, Martine",Collaborateur,United Therapeutics,États-Unis,Caroline du Nord
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"McGill, Iain",Collaborateur,Quell Therapeutics,Angleterre,Londres
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Faro, Albert",Collaborateur,Cystic Fibrosis Foundation,États-Unis,Maryland
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Negulescu, Paul",Collaborateur,Vertex Pharmaceuticals,États-Unis,Massachusetts
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Roth, Doug",Collaborateur,Heart & Stroke Foundation,Canada,Québec
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Brouwer, Eric",Collaborateur,SQI Diagnostics,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Davies, Jed",Collaborateur,Tissue Regeneration Therapeutics,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Dennison, Brent",Collaborateur,Insception Biosciences Inc,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Gavsie, Ronnie",Collaborateur,Réseau trillium pour le don de vie,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Mangat, Rick",Collaborateur,Traferox Technologies,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"May, Michael",Collaborateur,Centre for Commercialization of Regenerative Medicine,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Marshall, Craig",Collaborateur,OrganOx,Angleterre,Oxford
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Rogers, Ian",Cochercheur principal,Sinai Health System,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Gleason, Jim",Collaborateur,Transplant Recipients International Organization,États-Unis,Virginie
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Sinclair, John",Cocandidat,University of Cambridge,Angleterre,
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Amon, Cristina",Cocandidat,University of Toronto,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Badiwala, Mitesh",Cocandidat,University Health Network,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Chan, Christopher",Cocandidat,University Health Network,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Crome, Sarah",Cochercheur principal,University Health Network,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Cypel, Marcelo",Cochercheur principal,University Health Network,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Davidson, Alan",Cocandidat,University of Toronto,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Gross, Jed",Cochercheur principal,University Health Network,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Haykal, Siba",Cochercheur principal,University Health Network,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Humar, Atul",Cochercheur principal,University Health Network,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Jaeckel, Elmar",Cocandidat,University of Toronto,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Juvet, Stephen",Cochercheur principal,University Health Network,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Karoubi, Golnaz",Cocandidat,University of Toronto,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Keshavjee, Shaf",Chercheur principal désigné,University Health Network,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Kumar, Deepali",Cochercheur principal,University of Toronto,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Liu, Mingyao",Cochercheur principal,University Health Network,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"MacParland, Sonya",Cocandidat,University Health Network,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Martinu, Tereza",Cochercheur principal,University Health Network,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Reichman, Trevor",Cocandidat,University of Toronto,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Selzner, Markus",Cochercheur principal,University Health Network,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Vasconcelos, Sara",Cocandidat,University Health Network,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Waddell, Thomas",Cochercheur principal,University Health Network,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Withers, Stephen",Cocandidat,University of British Columbia,Canada,Colombie-Britannique
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Yeung, Jonathan",Cocandidat,University Health Network,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Zheng, Gang",Cocandidat,University Health Network,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Charbonneau, Sylvie",Collaborateur,Kidney Foundation of Canada,Canada,Québec
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Dean, Terry",Collaborateur,Canadian Lung Association,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Kim, Joseph",Collaborateur,Société canadienne de transplantation,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Lee, Sharon",Collaborateur,Canadian Pulmonary Fibrosis Foundation,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Miller, Marc",Collaborateur,Services aux Autochtones Canada,Canada,Québec
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Nebesky, Jennifer",Collaborateur,Fondation canadienne du foie,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Sher, Graham",Collaborateur,Société canadienne du sang,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Wallenburg, John",Collaborateur,Cystic Fibrosis Canada,Canada,Ontario
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Kledal, Thomas",Collaborateur,Synklino,Danemark,
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Parent, Brendan",Cocandidat,New York University Grossman School of Medicine,États-Unis,New-York
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Kleinstiver, Benjamin",Cocandidat,Massachusetts General Hospital,États-Unis,Massachusetts
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Andersson, Dag",Collaborateur,XVIVO Perfusion,Suède,
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Longo, Frank",Collaborateur,PharmatrophiX,États-Unis,Californie
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Croxall, Matt",Collaborateur,Lafayette Instrument Company,États-Unis,Indiana
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Hutchison, Matthew",Collaborateur,Biogen,États-Unis,Massachusetts
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Williams, Eugene",Collaborateur,ProMIS Neurosciences,États-Unis,Massachusetts
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Ireland, Scott",Collaborateur,Bruker Biospin Corporation,États-Unis,New-York
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Walters, Carol",Collaborateur,Alzheimer Society London and Middlesex,Canada,Ontario
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Edwards, Aled",Collaborateur,Structural Genomics Consortium,Canada,Ontario
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Sukoff Rizzo, Stacey",Collaborateur,MARMO-AD,États-Unis,Pennsylvanie
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Wiseman, Frances",Collaborateur,UK Dementia Research Institute,Angleterre,
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Bartha, Robert",Cocandidat,Western University,Canada,Ontario
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Brandon, Mark",Cocandidat,Université McGill,Canada,Québec
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Bussey, Timothy",Cocandidat,Western University,Canada,Ontario
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Cashman, Neil",Cocandidat,The University of British Columbia,Canada,Colombie-Britannique
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Chakravarty, Mallar",Cocandidat,Université McGill,Canada,Québec
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Clery, Justine",Cocandidat,Université McGill,Canada,Québec
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Dagher, Alain",Cocandidat,Université McGill,Canada,Québec
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Durcan, Thomas",Cochercheur principal,Université McGill,Canada,Québec
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Everling, Stefan",Cochercheur principal,Western University,Canada,Ontario
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Finger, Elizabeth",Cocandidat,Western University,Canada,Ontario
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Fon, Edward",Cocandidat,Université McGill,Canada,Québec
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Galea, Liisa",Cochercheur principal,The University of British Columbia,Canada,Colombie-Britannique
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Gold, E. Richard",Cochercheur principal,Université McGill,Canada,Québec
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Huot, Philippe",Cocandidat,Université McGill,Canada,Québec
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Khan, Ali",Cochercheur principal,Western University,Canada,Ontario
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"MacDonald, Penny",Cocandidat,Western University,Canada,Ontario
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Menon, Ravi",Chercheur principal désigné,Western University,Canada,Ontario
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Owen, Adrian",Cocandidat,Western University,Canada,Ontario
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Ping Lu, Kung",Collaborateur,Western University,Canada,Ontario
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Prado, Vania",Cochercheur principal,Western University,Canada,Ontario
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Prado, Marco",Cochercheur principal,Western University,Canada,Ontario
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Pruszynski, Andrew",Cocandidat,Western University,Canada,Ontario
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Saksida, Lisa",Cochercheur principal,Western University,Canada,Ontario
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Schmitz, Taylor",Cocandidat,Western University,Canada,Ontario
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Sullivan, Jacqueline",Cocandidat,Western University,Canada,Ontario
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Watts, Joel",Cocandidat,University of Toronto,Canada,Ontario
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Williams, Sylvain",Collaborateur,Université McGill,Canada,Québec
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Lipton, Mark",Collaborateur,Cambridge Brain Sciences,Canada,Ontario
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Munoz, Douglas",Collaborateur,Ontario Neurodegenerative Disease Research Initiative,Canada,Ontario
