projet,concours,chercheur,établissement,type affiliation
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Oliveira, Guilherme",Vale Institute of Technology,Académique / Recherche
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Negulescu, Paul",Vertex Pharmaceuticals,Industriel / Corporatif
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Tizya-Tramm, Erika",Vuntut Gwitchin First Nation Government,Premières nations
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Joseph, Serena",Waasegiizhig Nanaandawe'iyewigamig Health Access Centre (Region 16),Premières nations
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Brown, Michelle",Washington State University,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Lawniczak, Mara",Wellcome Sanger Institute,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Lindo, Zoe",Western University,Académique / Recherche
Inclusive Design for Employment Access (IDEA),2020,"Marshall, Carrie Anne",Western University,Académique / Recherche
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Noël, James",Western University,Académique / Recherche
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Ragogna, Paul",Western University,Académique / Recherche
Rare Isotopes to Transform Cancer Therapy,2022,"Luyt, Leonard",Western University,Académique / Recherche
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Bartha, Robert",Western University,Académique / Recherche
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Bussey, Timothy",Western University,Académique / Recherche
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Everling, Stefan",Western University,Académique / Recherche
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Finger, Elizabeth",Western University,Académique / Recherche
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Khan, Ali",Western University,Académique / Recherche
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"MacDonald, Penny",Western University,Académique / Recherche
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Menon, Ravi",Western University,Académique / Recherche
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Owen, Adrian",Western University,Académique / Recherche
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Ping Lu, Kung",Western University,Académique / Recherche
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Prado, Vania",Western University,Académique / Recherche
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Prado, Marco",Western University,Académique / Recherche
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Pruszynski, Andrew",Western University,Académique / Recherche
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Saksida, Lisa",Western University,Académique / Recherche
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Schmitz, Taylor",Western University,Académique / Recherche
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Sullivan, Jacqueline",Western University,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Hendriks, Elizabeth",World Wildlife Fund Canada,Organisation nationale / Internationale
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Andersson, Dag",XVIVO Perfusion,Industriel / Corporatif
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Yawanawà, Laura",Yawanawá people (Region 40),Premières nations
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Yawanawà, Tashka",Yawanawá people (Region 40),Premières nations
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Betsina, Ernest",Yellowknives Dene First Nations (Region 5),Premières nations
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Hall, Andrew",Yukon Energy,Organisation nationale / Internationale
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Andre, Shane",Yukon Government,Instance gouvernementale
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Ross, Michael",Yukon University,Académique / Recherche
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Silas, David",Yukon University,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Chandra, Kailash",Zoological Survey of India,Instance gouvernementale
